City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,mahenge,-8.6833,36.7167,22.77,85,99,1.62,TZ,1712488376
202,tazacorte,28.629,-17.9293,20.54,77,20,5.14,ES,1712488376
203,lihue,21.9789,-159.3672,21.77,76,100,9.77,US,1712488207
204,penzance,50.1186,-5.5371,12.38,88,98,14.98,GB,1712488377
205,port macquarie,-31.4333,152.9167,18.27,86,1,2.41,AU,1712488377
206,olinda,-8.0089,-34.8553,28.85,84,40,2.06,BR,1712488279
207,markovo,57.3206,107.0881,0.27,92,33,1.92,RU,1712488377
208,novodvinsk,64.4165,40.8122,-2.14,93,89,3.25,RU,1712488377
209,binghamton,42.0987,-75.918,4.38,79,0,2.57,US,1712488377
210,sidney,-33.8679,151.2073,21.31,76,0,3.09,AU,1712488083
211,plastun,44.7561,136.2939,6.25,53,4,1.29,RU,1712488377
212,lib,8.3122,167.3766,27.73,82,91,9.53,MH,1712488378
213,uliastay,47.7417,96.8444,8.36,36,86,2.53,MN,1712488378
214,mwinilunga,-11.7358,24.4293,19.79,95,100,2.06,ZM,1712488378
215,ola,59.5833,151.2833,-6.03,83,16,4.26,RU,1712488378
216,pemangkat,1.1667,108.9667,27.3,81,100,2.71,ID,1712488378
217,alofi,-19.0595,-169.9187,25.94,89,75,5.66,NU,1712488378
218,udachny,66.4167,112.4,-4.2,93,100,6.83,RU,1712488378
219,port alfred,-33.5906,26.891,19.54,83,100,3.58,ZA,1712488378
220,punta alta,-38.8759,-62.0736,16.23,78,34,6.83,AR,1712488379
221,sao felix do xingu,-6.6447,-51.995,23.42,98,99,0.24,BR,1712488379
222,fale old settlement,-9.3852,-171.2468,29.5,72,6,1.99,TK,1712488379
223,mogoytuy,51.2833,114.9167,-0.47,20,0,2.3,RU,1712488379
224,shahba,32.8551,36.629,17.86,44,24,9.36,SY,1712488379
225,mili,6.0815,171.735,28.05,84,24,10.41,MH,1712488379
226,puerto baquerizo moreno,-0.9,-89.6,24.28,84,78,2.31,EC,1712488331
227,visby,57.6409,18.296,12.8,82,0,9.26,SE,1712488265
228,kisangani,0.5167,25.2,25.28,85,100,0.79,CD,1712488135
229,naze,28.3667,129.4833,20.51,90,100,2.85,JP,1712488379
230,eyl,7.9803,49.8164,31.99,55,51,7.16,SO,1712488380
231,coquimbo,-29.9533,-71.3436,12.85,100,75,3.09,CL,1712487706
232,khorramabad,33.4878,48.3558,22.43,22,53,5.19,IR,1712488380
233,afaahiti,-17.75,-149.2833,26.93,84,64,5.71,PF,1712488380
234,pangkalpinang,-2.1333,106.1333,27.24,86,86,1.36,ID,1712488380
235,tarawa,1.419,172.984,28.19,84,75,8.83,KI,1712488380
236,flin flon,54.7682,-101.865,0.96,91,100,2.83,CA,1712487762
237,umm al quwain city,25.5647,55.5552,31.11,50,43,4.93,AE,1712488380
238,port augusta,-32.5,137.7667,16.03,72,69,5.98,AU,1712488380
239,kayangel,8.0823,134.7173,28.25,75,94,8.28,PW,1712488381
240,port lincoln,-34.7333,135.8667,15.0,76,32,3.44,AU,1712488381
241,selfoss,63.9331,-20.9971,1.69,44,100,14.66,IS,1712488381
242,acajutla,13.5928,-89.8275,27.57,74,84,3.31,SV,1712488381
243,laojunmiao,39.8333,97.7333,11.17,19,97,6.63,CN,1712488381
244,kristiansund,63.1115,7.732,11.03,87,75,7.72,NO,1712488381
245,sokoni,-6.4333,39.55,28.11,77,100,4.49,TZ,1712488381
246,pirallahi,40.4723,50.333,12.08,77,100,2.88,AZ,1712488275
247,kerikeri,-35.2268,173.9474,13.7,83,22,2.0,NZ,1712488202
248,hilo,19.7297,-155.09,20.16,93,20,3.6,US,1712488382
249,enewetak,11.3474,162.3373,27.3,81,90,9.13,MH,1712488382
250,tazovsky,67.4667,78.7,-6.11,82,100,9.63,RU,1712488382
251,djibo,14.1022,-1.6306,38.21,22,35,2.48,BF,1712488382
252,vadso,70.0744,29.7487,-3.51,80,75,4.63,NO,1712488382
253,gizo,-8.103,156.8419,26.46,91,100,7.22,SB,1712488382
254,buka,40.8108,69.1986,21.85,29,54,2.57,UZ,1712488383
255,nemuro,43.3236,145.575,4.2,97,100,6.46,JP,1712488383
256,saldanha,-33.0117,17.9442,18.1,68,92,9.61,ZA,1712488383
